COSEWICID,SCI_NAME,COM_NAME_E,TAXON_E,SAR_STAT_E,SCHEDULE_E,DataSource,PA_Type,PA_Name,area_in_CA_m2,area_in_AB_m2,area_in_PA_m2
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PP,Beauvais Lake Provincial Park,7935504687439,662493790164,11717381
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PRA,Beaver Lake Provincial Recreation Area,7935504687439,662493790164,929264
552,Lithobates pipiens,Northern Leopard Frog (Western Boreal/Prairie populations),Amphibians,Special Concern,Schedule 1,COSEWIC,PRA,Beaver Lake Provincial Recreation Area,626042908763,97491572772,929264
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PRA,Beaverdam Provincial Recreation Area,7935504687439,662493790164,1073806
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,NA,Beaverhill Lake Heritage Rangeland Natural Area,7935504687439,662493790164,177100031
552,Lithobates pipiens,Northern Leopard Frog (Western Boreal/Prairie populations),Amphibians,Special Concern,Schedule 1,COSEWIC,NA,Beaverhill Lake Heritage Rangeland Natural Area,626042908763,97491572772,66577082
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,NA,Beaverhill Natural Area,7935504687439,662493790164,3218406
552,Lithobates pipiens,Northern Leopard Frog (Western Boreal/Prairie populations),Amphibians,Special Concern,Schedule 1,COSEWIC,NA,Beaverhill Natural Area,626042908763,97491572772,2654132
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,NA,Beehive Natural Area,7935504687439,662493790164,68264208
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,NA,Bellis Lake Natural Area,7935504687439,662493790164,625878
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,NA,Bellis North Natural Area,7935504687439,662493790164,11112131
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,NA,Bentz Lake Natural Area,7935504687439,662493790164,673588
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PRA,Big Berland Provincial Recreation Area,7935504687439,662493790164,1659870
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PP,Big Hill Springs Provincial Park,7935504687439,662493790164,323173
552,Lithobates pipiens,Northern Leopard Frog (Western Boreal/Prairie populations),Amphibians,Special Concern,Schedule 1,COSEWIC,PP,Big Hill Springs Provincial Park,626042908763,97491572772,323173
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PP,Big Island Provincial Park,7935504687439,662493790164,795702
552,Lithobates pipiens,Northern Leopard Frog (Western Boreal/Prairie populations),Amphibians,Special Concern,Schedule 1,COSEWIC,PP,Big Island Provincial Park,626042908763,97491572772,795702
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PP,Big Knife Provincial Park,7935504687439,662493790164,2453884
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PRA,Big Mountain Creek Provincial Recreation Area,7935504687439,662493790164,130349
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PRA,Bigelow Reservoir Provincial Recreation Area,7935504687439,662493790164,129329
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,NA,Bigoray Natural Area,7935504687439,662493790164,650621
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,NA,Bilby Natural Area,7935504687439,662493790164,1223700
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,HR,Black Creek Heritage Rangeland,7935504687439,662493790164,78132559
552,Lithobates pipiens,Northern Leopard Frog (Western Boreal/Prairie populations),Amphibians,Special Concern,Schedule 1,COSEWIC,HR,Black Creek Heritage Rangeland,626042908763,97491572772,78132559
636,Rangifer tarandus,Woodland Caribou (Boreal population),Mammals,Threatened,Schedule 1,University of Ottawa,PP,Gregoire Lake Provincial Park,2663063334682,172383930931,3607704
636,Rangifer tarandus,Woodland Caribou (Boreal population),Mammals,Threatened,Schedule 1,University of Ottawa,PRA,Hangingstone Provincial Recreation Area,2663063334682,172383930931,152684
636,Rangifer tarandus,Woodland Caribou (Boreal population),Mammals,Threatened,Schedule 1,University of Ottawa,NA,Hondo Natural Area,2663063334682,172383930931,4355342
636,Rangifer tarandus,Woodland Caribou (Boreal population),Mammals,Threatened,Schedule 1,University of Ottawa,PRA,Jackson Lake Trail Staging Provincial Recreation Area,2663063334682,172383930931,284877
636,Rangifer tarandus,Woodland Caribou (Boreal population),Mammals,Threatened,Schedule 1,University of Ottawa,WPP,Kitaskino Nuwenëné Wildland,2663063334682,172383930931,2466206448
636,Rangifer tarandus,Woodland Caribou (Boreal population),Mammals,Threatened,Schedule 1,University of Ottawa,WPP,La Biche River Wildland Provincial Park,2663063334682,172383930931,1608365
636,Rangifer tarandus,Woodland Caribou (Boreal population),Mammals,Threatened,Schedule 1,University of Ottawa,PRA,Lakeland Provincial Recreation Area,2663063334682,172383930931,57920847
636,Rangifer tarandus,Woodland Caribou (Boreal population),Mammals,Threatened,Schedule 1,University of Ottawa,PP,Lesser Slave Lake Provincial Park,2663063334682,172383930931,6067921
636,Rangifer tarandus,Woodland Caribou (Boreal population),Mammals,Threatened,Schedule 1,University of Ottawa,PRA,Maqua Lake Provincial Recreation Area,2663063334682,172383930931,1933826
636,Rangifer tarandus,Woodland Caribou (Boreal population),Mammals,Threatened,Schedule 1,University of Ottawa,WPP,Marguerite River Wildland Provincial Park,2663063334682,172383930931,1985896065
552,Lithobates pipiens,Northern Leopard Frog (Western Boreal/Prairie populations),Amphibians,Special Concern,Schedule 1,COSEWIC,NA,Clearwater Ricinus Natural Area,626042908763,97491572772,633384
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,NA,Clifford E. Lee Natural Area,7935504687439,662493790164,111811
552,Lithobates pipiens,Northern Leopard Frog (Western Boreal/Prairie populations),Amphibians,Special Concern,Schedule 1,COSEWIC,NA,Clifford E. Lee Natural Area,626042908763,97491572772,111811
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PRA,Coal Lake North Provincial Recreation Area,7935504687439,662493790164,61264
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PRA,Cobble Flats Provincial Recreation Area,7935504687439,662493790164,926434
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PRA,Cooking Lake-Blackfoot Provincial Recreation Area,7935504687439,662493790164,99994881
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,NA,Cow Lake Natural Area,7935504687439,662493790164,3921986
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,NA,Coyote Lake Natural Area,7935504687439,662493790164,2981775
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PRA,Crescent Falls Provincial Recreation Area,7935504687439,662493790164,2631398
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PP,Crimson Lake Provincial Park,7935504687439,662493790164,32377224
552,Lithobates pipiens,Northern Leopard Frog (Western Boreal/Prairie populations),Amphibians,Special Concern,Schedule 1,COSEWIC,PP,Crimson Lake Provincial Park,626042908763,97491572772,32377224
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,NA,Crippsdale Natural Area,7935504687439,662493790164,651599
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PP,Cross Lake Provincial Park,7935504687439,662493790164,20670128
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PP,Cypress Hills Provincial Park,7935504687439,662493790164,212017360
552,Lithobates pipiens,Northern Leopard Frog (Western Boreal/Prairie populations),Amphibians,Special Concern,Schedule 1,COSEWIC,PP,Cypress Hills Provincial Park,626042908763,97491572772,212017360
552,Lithobates pipiens,Northern Leopard Frog (Western Boreal/Prairie populations),Amphibians,Special Concern,Schedule 1,COSEWIC,WPP,Don Getty Wildland Provincial Park,626042908763,97491572772,1096935
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,NA,Douglas Fir Natural Area,7935504687439,662493790164,3180881
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PRA,Dry Haven Provincial Recreation Area,7935504687439,662493790164,22691
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PP,Dry Island Buffalo Jump Provincial Park,7935504687439,662493790164,16512494
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PP,Dunvegan Provincial Park,7935504687439,662493790164,95386
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,WPP,Dunvegan West Wildland Provincial Park,7935504687439,662493790164,210509440
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,NA,Dussault Lake Natural Area,7935504687439,662493790164,576854
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PRA,Dutch Creek Provincial Recreation Area,7935504687439,662493790164,162653
552,Lithobates pipiens,Northern Leopard Frog (Western Boreal/Prairie populations),Amphibians,Special Concern,Schedule 1,COSEWIC,PRA,Dutch Creek Provincial Recreation Area,626042908763,97491572772,162653
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PP,Eagle Point Provincial Park,7935504687439,662493790164,19798867
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,NA,Easyford Creek Natural Area,7935504687439,662493790164,1134683
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,NA,Easyford Natural Area,7935504687439,662493790164,1140396
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,NA,Edgar T. Jones Natural Area,7935504687439,662493790164,885647
