COSEWICID,SCI_NAME,COM_NAME_E,TAXON_E,SAR_STAT_E,SCHEDULE_E,DataSource,PA_Type,PA_Name,area_in_CA_m2,area_in_AB_m2,area_in_PA_m2
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PRA,Fawcett Lake Provincial Recreation Area,5550296274101,656657907948,469846
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,WPP,Otter-Orloff Lakes Wildland Provincial Park,5550296274101,656657907948,70370215
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PP,Crow Lake Provincial Park,5550296274101,656657907948,7972394
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,ER,Crow Lake Ecological Reserve,5550296274101,656657907948,9929155
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,WPP,Dillon River Wildland Provincial Park,5550296274101,656657907948,1942751037
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,WPP,Grand Rapids Wildland Provincial Park,5550296274101,656657907948,266054054
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,WPP,Stony Mountain Wildland Provincial Park,5550296274101,656657907948,141190426
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PRA,Hangingstone Provincial Recreation Area,5550296274101,656657907948,152684
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PRA,Maqua Lake Provincial Recreation Area,5550296274101,656657907948,1933826
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PRA,Engstrom Lake Provincial Recreation Area,5550296274101,656657907948,591028
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,WPP,Hubert Lake Wildland Provincial Park,5550296274101,656657907948,97260536
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NA,Hondo Natural Area,5550296274101,656657907948,4355342
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PP,Cross Lake Provincial Park,5550296274101,656657907948,20670128
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PRA,Lawrence Lake Provincial Recreation Area,5550296274101,656657907948,2670578
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PRA,Chain Lakes Provincial Recreation Area,5550296274101,656657907948,209466
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PP,Long Lake Provincial Park,5550296274101,656657907948,7669831
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PRA,North Buck Lake Provincial Recreation Area,5550296274101,656657907948,1043103
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PRA,Poachers' Landing Provincial Recreation Area,5550296274101,656657907948,17721218
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,WPP,La Biche River Wildland Provincial Park,5550296274101,656657907948,175285128
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NA,Garner Orchid Fen Natural Area,5550296274101,656657907948,1668951
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PP,Sir Winston Churchill Provincial Park,5550296274101,656657907948,6702483
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PRA,Beaver Lake Provincial Recreation Area,5550296274101,656657907948,929264
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PP,Lakeland Provincial Park,5550296274101,656657907948,149592093
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PRA,Jackson Lake Trail Staging Provincial Recreation Area,5550296274101,656657907948,643213
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PP,Moose Lake Provincial Park,5550296274101,656657907948,7470046
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PRA,Lakeland Provincial Recreation Area,5550296274101,656657907948,453508380
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PRA,Wolf Lake Provincial Recreation Area,5550296274101,656657907948,379402
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PRA,English Bay Provincial Recreation Area,5550296274101,656657907948,188607
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PRA,French Bay Provincial Recreation Area,5550296274101,656657907948,4555586
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PP,Cold Lake Provincial Park,5550296274101,656657907948,59067169
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NA,Bear Lake Natural Area,5550296274101,656657907948,958203
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NA,Clear Lake Natural Area,5550296274101,656657907948,920681
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,WPP,Fort Assiniboine Sandhills Wildland Provincial Park,5550296274101,656657907948,81976866
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NA,Vega Natural Area,5550296274101,656657907948,1008718
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NA,Spruce Island Lake Natural Area,5550296274101,656657907948,8328753
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NA,Bridge Lake Natural Area,5550296274101,656657907948,1120581
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NA,Halfway Lake Natural Area,5550296274101,656657907948,1292371
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NA,Tawatinaw Natural Area,5550296274101,656657907948,8564081
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NA,Taylor Lake Natural Area,5550296274101,656657907948,407657
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NA,Crippsdale Natural Area,5550296274101,656657907948,651599
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NA,White Earth Valley Natural Area,5550296274101,656657907948,20438793
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NA,Victoria Settlement Natural Area,5550296274101,656657907948,165483
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NA,Bellis North Natural Area,5550296274101,656657907948,11112131
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NA,Bellis Lake Natural Area,5550296274101,656657907948,625878
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PP,Garner Lake Provincial Park,5550296274101,656657907948,681472
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NA,Upper Mann Lake Natural Area,5550296274101,656657907948,1322447
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PRA,Mallaig Provincial Recreation Area,5550296274101,656657907948,23694
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PRA,Kehiwin Provincial Recreation Area,5550296274101,656657907948,41801
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PRA,Franchere Bay Provincial Recreation Area,5550296274101,656657907948,213049
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PP,Whitney Lakes Provincial Park,5550296274101,656657907948,15117944
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PRA,Coal Lake North Provincial Recreation Area,5550296274101,656657907948,61264
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PP,Miquelon Lake Provincial Park,5550296274101,656657907948,12951631
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NA,Parkland Natural Area,5550296274101,656657907948,2610653
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NA,Sherwood Park Natural Area,5550296274101,656657907948,691562
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NA,Hastings Lake Islands Natural Area,5550296274101,656657907948,153166
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NA,Edgar T. Jones Natural Area,5550296274101,656657907948,885647
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NA,North Cooking Lake Natural Area,5550296274101,656657907948,2143887
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NA,Antler Lake Island Natural Area,5550296274101,656657907948,25598
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PRA,Cooking Lake-Blackfoot Provincial Recreation Area,5550296274101,656657907948,99994881
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NP,Elk Island National Park of Canada,5550296274101,656657907948,195335801
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NA,Northwest of Bruderheim Natural Area,5550296274101,656657907948,2630372
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PRA,North Bruderheim Provincial Recreation Area,5550296274101,656657907948,4472753
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PRA,Redwater Provincial Recreation Area,5550296274101,656657907948,22478073
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NA,Beaverhill Natural Area,5550296274101,656657907948,3218406
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NA,Beaverhill Lake Heritage Rangeland Natural Area,5550296274101,656657907948,177100031
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PP,Vermilion Provincial Park,5550296274101,656657907948,7646400
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,ER,Wainwright Dunes Ecological Reserve,5550296274101,656657907948,29267871
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NA,Ribstone Creek Heritage Rangeland Natural Area,5550296274101,656657907948,85149116
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NA,Killarney-Reflex Lakes Heritage Rgeland Natural Area,5550296274101,656657907948,27979900
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PP,Dillberry Lake Provincial Park,5550296274101,656657907948,12524647
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NA,Town Creek Natural Area,5550296274101,656657907948,2602699
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NA,Hoadley Natural Area,5550296274101,656657907948,650120
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NA,Lloyd Creek Natural Area,5550296274101,656657907948,5836322
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NA,Mount Butte Natural Area,5550296274101,656657907948,631808
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NA,Battle Lake Natural Area,5550296274101,656657907948,652417
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PP,Pigeon Lake Provincial Park,5550296274101,656657907948,4544986
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PRA,Peaceful Valley Provincial Recreation Area,5550296274101,656657907948,427542
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NA,Thorsby Natural Area,5550296274101,656657907948,656348
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NA,Clifford E. Lee Natural Area,5550296274101,656657907948,111811
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NA,Kakina Lake Natural Area,5550296274101,656657907948,644637
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NA,Bilby Natural Area,5550296274101,656657907948,1223700
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NA,Wagner Natural Area,5550296274101,656657907948,2215740
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PP,Lois Hole Centennial Provincial Park,5550296274101,656657907948,20729010
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NA,George Lake Natural Area,5550296274101,656657907948,1304358
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PP,Big Island Provincial Park,5550296274101,656657907948,795702
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NA,Riverlot 56 Natural Area,5550296274101,656657907948,1105039
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PP,Strathcona Science Provincial Park,5550296274101,656657907948,1173355
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NA,Opal Natural Area,5550296274101,656657907948,3746975
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NA,Halfmoon Lake Natural Area,5550296274101,656657907948,3347076
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NA,Redwater River Natural Area,5550296274101,656657907948,652041
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PRA,Demmitt Provincial Recreation Area,5550296274101,656657907948,19728
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PRA,Saskatoon Mountain Provincial Recreation Area,5550296274101,656657907948,9162828
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PP,Saskatoon Island Provincial Park,5550296274101,656657907948,1154924
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PP,Kleskun Hills Provincial Park,5550296274101,656657907948,10892658
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NA,Kleskun Hill Natural Area,5550296274101,656657907948,631916
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PP,Moonshine Lake Provincial Park,5550296274101,656657907948,11153441
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,WPP,Dunvegan West Wildland Provincial Park,5550296274101,656657907948,210509440
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PP,Dunvegan Provincial Park,5550296274101,656657907948,95386
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NA,Sand Lake Natural Area,5550296274101,656657907948,29013894
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PRA,Simonette River Provincial Recreation Area,5550296274101,656657907948,544303
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PP,Young's Point Provincial Park,5550296274101,656657907948,32458860
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,WPP,Peace River Wildland Provincial Park,5550296274101,656657907948,245683553
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PP,Winagami Lake Provincial Park,5550296274101,656657907948,65859475
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,WPP,Winagami Wildland Provincial Park,5550296274101,656657907948,129599623
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PRA,Heart River Dam Provincial Recreation Area,5550296274101,656657907948,127714
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,WPP,Grizzly Ridge Wildland Provincial Park,5550296274101,656657907948,107696732
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NA,Police Point Natural Area,5550296274101,656657907948,2963977
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PP,Hilliard's Bay Provincial Park,5550296274101,656657907948,23541006
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,WPP,Lesser Slave Lake Wildland Provincial Park,5550296274101,656657907948,34966415
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PP,Lesser Slave Lake Provincial Park,5550296274101,656657907948,77656809
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PRA,Shuttler Flats Provincial Recreation Area,5550296274101,656657907948,146934
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PRA,Musreau Lake Provincial Recreation Area,5550296274101,656657907948,18038042
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PRA,Big Mountain Creek Provincial Recreation Area,5550296274101,656657907948,130349
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PP,O'Brien Provincial Park,5550296274101,656657907948,589005
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PRA,Kakwa River Provincial Recreation Area,5550296274101,656657907948,77043
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NA,Sturgeon Lake Natural Area,5550296274101,656657907948,45084
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PP,Williamson Provincial Park,5550296274101,656657907948,165321
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PRA,Waskahigan River Provincial Recreation Area,5550296274101,656657907948,7392912
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PRA,Smoke Lake Provincial Recreation Area,5550296274101,656657907948,1033826
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PRA,Pines Provincial Recreation Area,5550296274101,656657907948,180826
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PRA,Iosegun Lake Provincial Recreation Area,5550296274101,656657907948,1159607
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PP,Carson-Pegasus Provincial Park,5550296274101,656657907948,12167345
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,ER,Goose Mountain Ecological Reserve,5550296274101,656657907948,12734592
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PRA,Freeman River Provincial Recreation Area,5550296274101,656657907948,101354
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PRA,Trapper Lea's Cabin Provincial Recreation Area,5550296274101,656657907948,74866
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,ER,Holmes Crossing Sandhills Ecological Reserve,5550296274101,656657907948,20207529
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NA,Noel Lake Natural Area,5550296274101,656657907948,2698573
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NA,Centre of Alberta Natural Area,5550296274101,656657907948,3151860
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PRA,Edith Lake Provincial Recreation Area,5550296274101,656657907948,40320
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PRA,Chrystina Lake Provincial Recreation Area,5550296274101,656657907948,265921
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NA,Horseshoe Creek Natural Area,5550296274101,656657907948,3283665
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NA,Easyford Natural Area,5550296274101,656657907948,1140396
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NA,Washout Creek Natural Area,5550296274101,656657907948,1250938
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PRA,Blue Rapids Provincial Recreation Area,5550296274101,656657907948,36476984
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NA,Buck Lake Creek Natural Area,5550296274101,656657907948,1304745
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NA,Easyford Creek Natural Area,5550296274101,656657907948,1134683
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NA,Bigoray Natural Area,5550296274101,656657907948,650621
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NA,Round Valley Natural Area,5550296274101,656657907948,1290868
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NA,Pembina River Moon Lake Natural Area,5550296274101,656657907948,1076189
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NA,Rocky Rapids Natural Area,5550296274101,656657907948,640292
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PP,Eagle Point Provincial Park,5550296274101,656657907948,19798867
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PP,Pembina River Provincial Park,5550296274101,656657907948,1994142
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NA,Matthews Crossing Natural Area,5550296274101,656657907948,3129407
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NA,Dussault Lake Natural Area,5550296274101,656657907948,576854
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NA,Isle Lake Natural Area,5550296274101,656657907948,1280556
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NA,Park Court Natural Area,5550296274101,656657907948,1434899
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NA,Prefontaine Brock Lakes Natural Area,5550296274101,656657907948,1982531
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NA,Roselea Natural Area,5550296274101,656657907948,2540695
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PP,Thunder Lake Provincial Park,5550296274101,656657907948,1978337
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PRA,Buck Lake Provincial Recreation Area,5550296274101,656657907948,493385
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PRA,Lovett River Provincial Recreation Area,5550296274101,656657907948,383628
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PP,Obed Lake Provincial Park,5550296274101,656657907948,39996762
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PP,Sundance Provincial Park,5550296274101,656657907948,37183936
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PRA,Weald Provincial Recreation Area,5550296274101,656657907948,308266
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PRA,Fickle Lake Provincial Recreation Area,5550296274101,656657907948,11573419
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PRA,Little Sundance Creek Provincial Recreation Area,5550296274101,656657907948,239296
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PRA,Pembina Forks Provincial Recreation Area,5550296274101,656657907948,101286
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PRA,Fairfax Lake Provincial Recreation Area,5550296274101,656657907948,1308203
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PRA,Elk River Provincial Recreation Area,5550296274101,656657907948,311621
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PRA,Brazeau Reservoir Provincial Recreation Area,5550296274101,656657907948,1417831
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,PRA,Hornbeck Creek Provincial Recreation Area,5550296274101,656657907948,57105
999,Contopus cooperi,Olive–sided Flycatcher,Birds,Threatened,Schedule 1,WILDSPACETM 2002,NA,Yates Natural Area,5550296274101,656657907948,1916757
